ACTION,TOPIC,CAMERA_OF_CONVERSATION,MEM_DEP,MEM_DEP_TOPIC,UTTERANCE_ID,UTTERANCE
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1425,"compared to other model of camera, it has 61 autofocus points but  fantastic software behind those, so it's got  less data to work with it can be much more responsive and the accuracy is pinpoint it's fantastic"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,78,it has 61 auto focus points that can be combined in a variety of autofocus modes
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,78,it has 61 auto focus points that can be combined in a variety of autofocus modes
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3080,it has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3114,It has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3435,it has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3549,It has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3571,It has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3571,It has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3549,It has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3435,it has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3114,It has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3080,it has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2258,"it has 61 autofocus points which is maybe less you've been used to in the past, but the software has been redesigned so that it's a lot more responsive"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2258,"it has 61 autofocus points which is maybe less you've been used to in the past, but the software has been redesigned so that it's a lot more responsive"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1736,"it has 61 autofocus points, a lot of other cameras have autofocus points between hundred and two hundred, what Canon have done with this new version of the 5d is that for they reduce the number of autofocus points, and it's much more responsive"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1736,"it has 61 autofocus points, a lot of other cameras have autofocus points between hundred and two hundred, what Canon have done with this new version of the 5d is that for they reduce the number of autofocus points, and it's much more responsive"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3042,it has a 61 different autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3042,it has a 61 different autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2143,"since then, the number of autofocus points has actually dropped in the canon, this is down to 61 autofocus points, they've change the software so it can work much faster but its got pinpoint accuracy "
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2143,"since then, the number of autofocus points has actually dropped in the canon, this is down to 61 autofocus points, they've change the software so it can work much faster but its got pinpoint accuracy "
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,940,"that depends on the lens you attach, if you have a lens is compatible with autofocus, this camera has a new system with 61 auto focus points and artificial intelligence built into the software so it can be very responsive and very accurate"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,940,"that depends on the lens you attach, if you have a lens is compatible with autofocus, this camera has a new system with 61 auto focus points and artificial intelligence built into the software so it can be very responsive and very accurate"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4425,that one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4425,that one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,434,There are fewer autofocus points but that makes it more responsive there is different software working to integrate them so less processing more accurate results
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,434,There are fewer autofocus points but that makes it more responsive there is different software working to integrate them so less processing more accurate results
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,623,"there are some big differences between this and the last Model, this only has 61 autofocus points, they've change the way the brain works it's a lot smarter now"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,623,"there are some big differences between this and the last Model, this only has 61 autofocus points, they've change the way the brain works it's a lot smarter now"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2532,"they're trying something different with this model, its only got 61 autofocus points, but they have refine the software so by working with less data so they can give you a more accurate results more quickly"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,2532,"they're trying something different with this model, its only got 61 autofocus points, but they have refine the software so by working with less data so they can give you a more accurate results more quickly"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,606,this Canon 5d Mark 3 only has 61 autofocus points it sounds like a lot but many older cameras have up to 200 points what Canon have done have integrated some AI kind of aspect in software for interpreting that so this one of the best cameras for working with different autofocus points across the sensor
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,606,this Canon 5d Mark 3 only has 61 autofocus points it sounds like a lot but many older cameras have up to 200 points what Canon have done have integrated some AI kind of aspect in software for interpreting that so this one of the best cameras for working with different autofocus points across the sensor
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1338,"this has 61 autofocus points, and it's a big drop over the last model, what canon have been able to do with fewer autofocus points but better software, it can have better results, it's much more responsive the most of the cameras"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,1338,"this has 61 autofocus points, and it's a big drop over the last model, what canon have been able to do with fewer autofocus points but better software, it can have better results, it's much more responsive the most of the cameras"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,685,"this has 61 autofocus points, which sounds like a lower number than the old model, but what's happened is they've change the software inside the camera, so if fewer points means it's much more responsive but it is actually slightly more accurate"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,685,"this has 61 autofocus points, which sounds like a lower number than the old model, but what's happened is they've change the software inside the camera, so if fewer points means it's much more responsive but it is actually slightly more accurate"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,754,"this has a 61 autofocus points some of its competitors have up to 200 points, but what canon have done is they worked out some artificial intelligence software so by having less data better thought out it's very responsive and accurate"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,754,"this has a 61 autofocus points some of its competitors have up to 200 points, but what canon have done is they worked out some artificial intelligence software so by having less data better thought out it's very responsive and accurate"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,637,"this is the latest model, so in some ways if you look at the specifications like it only has 61 autofocus points, but that means that it can work much more quickly, much more responsive to the shutter when you want to take a picture the way it thinks is being fine tuned and refined"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,637,"this is the latest model, so in some ways if you look at the specifications like it only has 61 autofocus points, but that means that it can work much more quickly, much more responsive to the shutter when you want to take a picture the way it thinks is being fine tuned and refined"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3249,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3392,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3497,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3619,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3776,This one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4027,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4235,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4456,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4456,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4235,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,4027,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3776,This one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3619,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3497,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3392,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3249,this one has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3134,yes it has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points,CANON,,,3134,yes it has 61 autofocus points
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points_what,CANON,APPEND,PURPOSE:sports,4419,"for instance if you're interested in taking pictures of sports then the more autofocus points you have, then the image will get less blurry"
S_ANSWERS_QUESTION_ABOUT_FEATURE,autofocus_points_what,CANON,APPEND,PURPOSE:sports,4419,"for instance if you're interested in taking pictures of sports then the more autofocus points you have, then the image will get less blurry"
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode,CANON,APPEND,PURPOSE:expert,-1,This camera has bulb mode which allows you to leave the shutter open as long as you like. This is a feature that only experts would need
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode,CANON,APPEND,PURPOSE:night,-1,"The bulb mode allows you to leave the shutter open indefinately, letting in lots of light. Very useful for night time photos"
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode,CANON,,,-1,"Yes, it has bulb mode, which let's you leave the shutter open as long as you want, if you want to take some long exposure shots"
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode_what,CANON,,,3233,bulb mode so you just press the shutter once and then you can leave it as long as you can and it takes all the exposure and then if you press it again it will turn off
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode_what,CANON,,,3233,bulb mode so you just press the shutter once and then you can leave it as long as you can and it takes all the exposure and then if you press it again it will turn off
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode_what,CANON,,,4023,"So with bulb mode is when you push the shutter, it takes the exposure and the next time you push it, it ends the exposure and takes a picture"
S_ANSWERS_QUESTION_ABOUT_FEATURE,bulb_mode_what,CANON,,,4023,"So with bulb mode is when you push the shutter, it takes the exposure and the next time you push it, it ends the exposure and takes a picture"
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,79,black black only
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,79,black black only
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,1339,black only I am afraid it's a full professional camera
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,1339,black only I am afraid it's a full professional camera
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4546,for the color of the canon only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4546,for the color of the canon only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3078,it comes in one color which is black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3111,it comes in one color which is black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3111,it comes in one color which is black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3078,it comes in one color which is black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3015,It comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3798,it comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3798,it comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3015,It comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3163,It comes only one color which is black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3163,It comes only one color which is black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,182,it's only black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,182,it's only black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3212,no it comes only in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3336,no it comes only in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4593,no it comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4593,no it comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3336,no it comes only in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3212,no it comes only in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3195,no it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3431,no it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3431,no it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3195,no it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4713,no that one comes only in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4713,no that one comes only in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4453,that one comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4453,that one comes only in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,1678,This is a full professional camera it only comes in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,1678,This is a full professional camera it only comes in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,314,this is a top-end professional camera it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,314,this is a top-end professional camera it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,571,this is a tough and professional camera so it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,571,this is a tough and professional camera so it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,2,this only comes in black dude what were you looking for in a camera
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,2,this only comes in black dude what were you looking for in a camera
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4100,yes it comes in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4100,yes it comes in black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3476,yes it does come in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3476,yes it does come in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3860,yes it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4029,yes it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4029,yes it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,3860,yes it only comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4102,Yes that also comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,color,CANON,,,4102,Yes that also comes in Black
S_ANSWERS_QUESTION_ABOUT_FEATURE,DSLR,CANON,,,4035,"basically it's a top notch DSLR camera, you can control settings manually, it has full frame sensor and it has really good ISO level which is 6400"
S_ANSWERS_QUESTION_ABOUT_FEATURE,DSLR,CANON,,,4035,"basically it's a top notch DSLR camera, you can control settings manually, it has full frame sensor and it has really good ISO level which is 6400"
S_ANSWERS_QUESTION_ABOUT_FEATURE,DSLR,CANON,,,4114,"this one is a DSLR camera, although it has some Less AutoFocus points you can take better pictures depending on the lens"
S_ANSWERS_QUESTION_ABOUT_FEATURE,DSLR,CANON,,,4114,"this one is a DSLR camera, although it has some Less AutoFocus points you can take better pictures depending on the lens"
S_ANSWERS_QUESTION_ABOUT_FEATURE,ease_of_use,CANON,,,3588,"no it's not simple, it's a pro camera, for a simple camera we have something else"
S_ANSWERS_QUESTION_ABOUT_FEATURE,ease_of_use,CANON,,,3588,"no it's not simple, it's a pro camera, for a simple camera we have something else"
S_ANSWERS_QUESTION_ABOUT_FEATURE,ease_of_use,CANON,,,3960,yes you have to know things about some knowledge of photographing to be able to use this camera
S_ANSWERS_QUESTION_ABOUT_FEATURE,ease_of_use,CANON,,,3960,yes you have to know things about some knowledge of photographing to be able to use this camera
S_ANSWERS_QUESTION_ABOUT_FEATURE,effects,CANON,,,-1,"The canon does not have any effects, but the other cameras do"
S_ANSWERS_QUESTION_ABOUT_FEATURE,expensive,CANON,,,1796,this is the most expensive camera we have
S_ANSWERS_QUESTION_ABOUT_FEATURE,expensive,CANON,,,1796,this is the most expensive camera we have
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,APPEND,PURPOSE:art_school,-1,"You can set the exposure as long as you wish with the bulb mode, which is nice if you want to try out different effects in art class"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,APPEND,PURPOSE:expert,-1,"the normal exposures up to 30 seconds but it has a bulb mode so you can go forever, this range of flexibility is very popular with the experts"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,APPEND,PURPOSE:night,-1,"On this one the shutter speed goes up to 30 seconds, and with the bulb mode you can leave the shutter open as long as you want. Perfect or night time photos"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,77,as long as you like it has a bulb setting so if you want to shoot at a low ISO for 2 hours this camera can do that
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,77,as long as you like it has a bulb setting so if you want to shoot at a low ISO for 2 hours this camera can do that
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,2145,basically the standard shutter speed goes up to30 seconds but then in bulb mode you can keep the shutter open for as long as you choose
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,2145,basically the standard shutter speed goes up to30 seconds but then in bulb mode you can keep the shutter open for as long as you choose
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3987,"first it comes with 6400 ISO settings which is very high, also it comes with bulb mode so you can take unlimited length of exposure"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3987,"first it comes with 6400 ISO settings which is very high, also it comes with bulb mode so you can take unlimited length of exposure"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3115,It can expose to 30 second and it also has bulb mode
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3115,It can expose to 30 second and it also has bulb mode
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3672,it comes also with 9 different piece at modes if you want to shoot without  adjusting settings
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3672,it comes also with 9 different piece at modes if you want to shoot without  adjusting settings
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,2966,it goes up the 30 seconds of long exposure and he also has bulb mode so you can hold the exposure as long as you want
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,2966,it goes up the 30 seconds of long exposure and he also has bulb mode so you can hold the exposure as long as you want
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,4926,it goes up to 30 seconds of exposure and you can also hold the exposure with the bulb mode
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,4926,it goes up to 30 seconds of exposure and you can also hold the exposure with the bulb mode
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3391,"it goes up to 30 seconds of exposure, it has 6400 ISO, it also have bulb mode"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3391,"it goes up to 30 seconds of exposure, it has 6400 ISO, it also have bulb mode"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3116,It has 6400 ISO and takes really sharp image for that high ISO
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3116,It has 6400 ISO and takes really sharp image for that high ISO
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,157,it has a bulb setting so that if you want to take a 2 hour or 20 hour exposure even that is possible
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,157,it has a bulb setting so that if you want to take a 2 hour or 20 hour exposure even that is possible
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3167,it takes really sharp image in 6400 ISO
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3167,it takes really sharp image in 6400 ISO
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,243,on a standard shutter speed exposure goes up to 30 seconds or longer than that you would need a timer and to go to bulb mode and then the exposure is indefinite
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,243,on a standard shutter speed exposure goes up to 30 seconds or longer than that you would need a timer and to go to bulb mode and then the exposure is indefinite
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,201,on a standard shutter speeds it will go up to 30 seconds you can also change the bulb mode where you can keep the shutter open forever
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,201,on a standard shutter speeds it will go up to 30 seconds you can also change the bulb mode where you can keep the shutter open forever
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,1409,"only 30 seconds with a full professional camera has a standard long shutter speed of 30 seconds, where it can be put in the bulb modes so that you can have to shutter up in for hours or days"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,1409,"only 30 seconds with a full professional camera has a standard long shutter speed of 30 seconds, where it can be put in the bulb modes so that you can have to shutter up in for hours or days"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3166,the long exposure goes up after 30 seconds but it also has a bulb mode so you can hold exposure as long as you want
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,3166,the long exposure goes up after 30 seconds but it also has a bulb mode so you can hold exposure as long as you want
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,318,the normal exposures up to 30 seconds but it has a bulb mode so you can go forever
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,318,the normal exposures up to 30 seconds but it has a bulb mode so you can go forever
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,939,"the normal shutter speed goes up to 30 seconds, if you wanted to go longer than that this camera has a bulb mode so you can keep the shutter open for as long as you choose"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,939,"the normal shutter speed goes up to 30 seconds, if you wanted to go longer than that this camera has a bulb mode so you can keep the shutter open for as long as you choose"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,595,the shutter speed goes up to 1000 to the second but it can go as low as 30 seconds so you got some creative control and different effects
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,595,the shutter speed goes up to 1000 to the second but it can go as low as 30 seconds so you got some creative control and different effects
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,1543,The shutter speed goes up to 30 seconds and for most of the project your course that should actually be enough
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,1543,The shutter speed goes up to 30 seconds and for most of the project your course that should actually be enough
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,2430,"the shutter speed goes up to 30 seconds in a standard way, and the iso is 6400 with very little is so you'll protect the evidentiary aspect of the photographs you taking also it has a bulb mode so if you need to take extra long exposures ten minutes, or day or a week, you can do that with this camera"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,2430,"the shutter speed goes up to 30 seconds in a standard way, and the iso is 6400 with very little is so you'll protect the evidentiary aspect of the photographs you taking also it has a bulb mode so if you need to take extra long exposures ten minutes, or day or a week, you can do that with this camera"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,625,the shutter speed in a standard way opens up to 30 seconds but then it has a bulb setting so that you can keep the shutter open indefinitely
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,625,the shutter speed in a standard way opens up to 30 seconds but then it has a bulb setting so that you can keep the shutter open indefinitely
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,1318,"the standard exposure goes up to 30 seconds, but then it has a bulb mode so you need you can keep the shutter for as long as you want, hours or days"
S_ANSWERS_QUESTION_ABOUT_FEATURE,exposure,CANON,,,1318,"the standard exposure goes up to 30 seconds, but then it has a bulb mode so you need you can keep the shutter for as long as you want, hours or days"
