CLUSTER_ID,TIMESTAMP,TRIAL,CUSTOMER_TYPE,SPATIAL_STATE,STATE_TARGET,CUSTOMER_FROM_MOTION,CUSTOMER_TO_MOTION,CUSTOMER_LOCATION,SHOPKEEPER_FROM_MOTION,SHOPKEEPER_TO_MOTION,SHOPKEEPER_LOCATION,CUSTOMER_SPEAKING,CUSTOMER_SPEECH,CUSTOMER_KEYWORDS,CUSTOMER_SPEECH_DURATION,SHOPKEEPER_SPEAKING,SHOPKEEPER_SPEECH,SHOPKEEPER_KEYWORDS,SHOPKEEPER_SPEECH_DURATION,BAD_CLUSTER,TYPICAL_VECTOR
105;PRESENT_X;NIKON,1436435520,397,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,over here we have the top in professional cameras around about $2000 and your violin separately,NO_KEYWORD,7000,-,-
105;PRESENT_X;NIKON,1437642818,545,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,to pay the $2000 and Nolan,Nolan,4000,-,*
106;FACE_TO_FACE;NONE,1436428407,373,ADVANCED,FACE_TO_FACE,NONE,NONE,NONE,MIDDLE,NONE,NONE,MIDDLE,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem come back anytime with anything we can help you with will be here I will keep a camera setup for the next few days for you,camera setup;problem,5675,-,*
106;PRESENT_X;CANON,1436427918,371,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon come back anytime thank you so much thank you,good afternoon;problem,4083,-,*
106;PRESENT_X;NIKON,1437648041,555,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem come back anytime you like N,problem,6089,-,-
106;PRESENT_X;NIKON,1438239362,626,ADVANCED,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem come back anytime have a good afternoon,good afternoon;problem,3594,-,*
106;PRESENT_X;NIKON,1438239829,628,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem come back anytime it'll be great to see you again thank you,problem,2843,-,-
106;PRESENT_X;SONY,1437724778,584,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem it when you're ready come back and we can package one up for you,problem,5245,-,*
106;PRESENT_X;SONY,1438240580,631,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem come back anytime and we can take some pictures for the cameras and compare them for you,cameras;problem;pictures,7000,-,-
107;PRESENT_X;CANON,1435219784,138,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,can I ask what sort of photographs you take,sort;photographs,3370,-,*
107;PRESENT_X;CANON,1435220527,141,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,how long do you need that depends on the photographs you take,photographs,4435,-,-
107;PRESENT_X;CANON,1436425050,364,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,it's designed with the print media remind us will the photographs from here come out ready for publication with very little editing dated,print media;little editing;photographs;publication,6796,-,-
107;PRESENT_X;CANON,1436425255,365,NOVICE,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,are you using your photographs for print,photographs;print,7000,-,-
107;PRESENT_X;NIKON,1435218556,132,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,7060 $8 and it gets very high-resolution photographs to it's right value for the price,right value;photographs;price,6479,-,-
107;PRESENT_X;NIKON,1435219294,135,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,can I ask Allah to the photographs to take,Allah;photographs,3236,-,*
107;PRESENT_X;NIKON,1437647921,555,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,like the kinds of photographs it take it but you want them to look better and maybe be a little easier to work with,kinds;photographs,6859,-,-
108;FACE_TO_FACE;NONE,1436435741,398,ADVANCED,FACE_TO_FACE,NONE,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,we have three new models in store at the moment we have the full professional model we have the sociable camera for your family and friends we have a semi pro model pictures you take,semi pro model;sociable camera;new models;professional model;moment,8555,-,*
108;PRESENT_X;CANON,1437647899,555,NOVICE,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,what do you have at the moment,moment,2000,-,*
108;PRESENT_X;CANON,1437648936,559,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,are you working for a company at the moment or freelance,moment;freelance;company,4149,-,-
108;PRESENT_X;NIKON,1436432784,388,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,the Nikon Coolpix Luciani model B carry at the moment,Nikon Coolpix Luciani;model B carry;moment,3000,-,*
108;PRESENT_X;NIKON,1436436286,401,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,it's a fantastic camera beautiful pictures every time point and shoot Simplicity you can really catch the moment,camera beautiful pictures;time point;Simplicity;moment,5700,-,-
108;PRESENT_X;SONY,1435223472,150,NOVICE,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,you like to be with people and catch the moment,moment;people,2651,-,*
108;PRESENT_X;SONY,1438240544,631,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,this is $500 but did you say if you have a camera at the moment,moment;camera,3999,-,-
109;FACE_TO_FACE;NONE,1436425429,366,ADVANCED,FACE_TO_FACE,NONE,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,we have the brand new Canon 5D Mark 3 overheat can I ask what sort of camera used in the past,new Canon 5D;sort;camera;brand;Mark;overheat;past,5998,-,*
109;PRESENT_X;CANON,1435222436,145,ADVANCED,PRESENT_X,CANON,SONY,CANON,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,this is the Canon 5d Mark 3 and has all the manual settings you could ever want full creative control,manual settings;creative control;Canon;Mark,6395,-,*
109;PRESENT_X;CANON,1435222852,147,NOVICE,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,this is the Canon 5d Mark 3 and it's the first choice of most health professionals it has full manual control and a huge range of lenses,huge range;health professionals;manual control;Canon;lenses;choice;Mark,7887,-,-
109;PRESENT_X;CANON,1435224513,155,ADVANCED,PRESENT_X,CANON,NONE,NONE,MIDDLE,NIKON,CANON,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,this is the Canon 5d Mark 3 it gives you full creative control so that gives you full exposure control,creative control;Canon;exposure;Mark,6942,-,-
109;PRESENT_X;SONY,1435219702,138,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,we have the top-end Canon 5d Mark 3 so here it gives you full creative control with full manual settings,top-end Canon;manual settings;creative control;Mark,8045,-,-
109;PRESENT_X;SONY,1435220491,141,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,please over here we have the Canon 5d Mark 3,Canon;Mark,4572,-,*
109;PRESENT_X;SONY,1435224661,156,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,yes we do we have the Canon 5d Mark 3 you may have heard about it,Canon;Mark,4427,-,-
10;PRESENT_X;CANON,1437645776,553,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,4959,-,*
10;PRESENT_X;CANON,1437720693,571,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,3338,-,-
10;PRESENT_X;CANON,1437722358,579,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2806,-,-
10;PRESENT_X;CANON,1437726081,591,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2000,-,-
10;PRESENT_X;NIKON,1436429604,378,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2720,-,*
10;PRESENT_X;NIKON,1436511659,414,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem I'll just be over here have a good afternoon,good afternoon;problem,3597,-,-
10;PRESENT_X;NIKON,1437642634,544,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem anytime have a good afternoon,good afternoon;problem,4277,-,-
10;PRESENT_X;NIKON,1437721129,573,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,3016,-,-
10;PRESENT_X;NIKON,1437723952,580,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem we'll see you next time have a good afternoon,good afternoon;problem;time,4318,-,-
10;PRESENT_X;NIKON,1437725587,589,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,4030,-,-
10;PRESENT_X;NIKON,1437725867,590,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,3040,-,-
10;PRESENT_X;NIKON,1438238468,622,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2655,-,-
10;PRESENT_X;SONY,1437724368,582,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,3037,-,*
10;PRESENT_X;SONY,1437725164,586,NOVICE,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,3753,-,-
10;PRESENT_X;SONY,1438238941,624,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2347,-,-
10;PRESENT_X;SONY,1438239609,627,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2176,-,-
10;PRESENT_X;SONY,1438244991,641,NOVICE,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,no problem have a good afternoon,good afternoon;problem,2711,-,-
110;PRESENT_X;NIKON,1436426071,368,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,yes very clever that way he's got great picture quality as well,great picture quality;way,3814,-,-
110;PRESENT_X;NIKON,1437639065,534,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,3820 grants science to fit into your pocket not be funky just it's going to be there ready to go when you want to take your picture it's about the pictures trying to get in the way,grants science;pocket;picture;pictures;way,12051,-,*
110;PRESENT_X;NIKON,1437641957,542,NOVICE,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,3820 grant,grant,2000,-,-
110;PRESENT_X;SONY,1436433100,390,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,so a camera that's very heavy would get in your way,camera;way,4693,-,-
110;PRESENT_X;SONY,1436436533,402,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,the high resolution JPEG files Servite room or any of those software packages should have the way to the trust fund,high resolution JPEG;Servite room;software packages;trust fund;way,5496,-,-
110;PRESENT_X;SONY,1437720794,572,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,when you traveling. So the flight can get in the way and you go to focus on your pictures,flight;way;pictures,5000,-,*
110;WAITING;NONE,1435220997,143,NOVICE,WAITING,NONE,NONE,NONE,SONY,SONY,SERVICE_COUNTER,SERVICE_COUNTER,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,thank you please come this way,way,3581,-,*
111;PRESENT_X;CANON,1435219002,134,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,yes it does actually sound that we have a lot of other cameras to perform at much lower price and still get a good picture but that I know when it says was it all with this total creative freedom would you like to talk about lenses the kind of lenses we carry that would go with this camera,total creative freedom;lower price;good picture;lenses;cameras;kind;camera,13853,-,-
111;PRESENT_X;CANON,1435905828,231,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,the camera body is $2000 we will have to talk about the kinds of lenses and your kind of fashion photography separately,camera body;fashion photography;lenses;kinds;kind,10000,-,-
111;PRESENT_X;CANON,1437726062,591,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,depending on the kind of lenses you're like two years of close to wait will go up from there,lenses;kind,5000,-,-
111;PRESENT_X;CANON,1438238873,624,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,have you thought about the kind of lenses you want to buy as well,lenses;kind,3706,-,*
111;PRESENT_X;NIKON,1438245077,642,ADVANCED,PRESENT_X,NIKON,NONE,NONE,NIKON,NONE,NONE,NIKON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,discover here is only $68 it has fooled her focus it's got a nice of the lens on it has 20 megapixel is grateful family and friends it's great for those parties thats what its design for,grateful family;megapixel;thats;lens;nice;discover;focus;parties;design,10373,-,*
111;PRESENT_X;SONY,1438238353,622,NOVICE,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,this is designed to be a good light-weight travelling camera takes beautiful pictures almost as good as in camera and you can change the lenses on it as well is that the kind of thing you use to have,beautiful pictures;good light-weight;camera;lenses;thing;kind,9025,-,-
111;PRESENT_X;SONY,1438239500,627,ADVANCED,PRESENT_X,SONY,NONE,NONE,SONY,NONE,NONE,SONY,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,it'll say limit state kind of lenses you can use the that's a nice of underwater photography,limit state kind;underwater photography;lenses;nice,4382,-,*
112;PRESENT_X;CANON,1435219754,138,ADVANCED,PRESENT_X,CANON,NONE,NONE,CANON,NONE,NONE,CANON,SILENCE,NONE,NO_KEYWORD,0,SPEAKING,it's designed for full creative control using full glass lens it is the top end for anything you ever want to shoot,glass lens;creative control;end,7131,-,-
